Data,433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal,3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$,4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões),4469 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governo Federal - R$ (milhões),4470 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Banco Central - R$ (milhões),4472 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos estaduais - R$ (milhões),4473 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos municipais - R$ (milhões),13761 - Dívida bruta do governo geral - Saldos em R$ milhões - Metodologia utilizada a partir de 2008 - R$ (milhões),13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008 - %,"13763 - Dívida bruta do governo geral - Saldos em US$ milhões - Metodologia utilizada a partir de 2008 - US$ (milhões),,,,,,,,,,",4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.,"4390 - Taxa de juros - Selic acumulada no mês - % a.m.,,","29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %,"
02/2009,"0,55 ","2,3776 ","242.496,9 ","785.523,66 ","-33.796,31 ","356.739,65 ","56.263,75 ","1.791.071,99 ","57,18 ","753.310,90","12,66 ","0,86","27,26"
03/2009,"0,20 ","2,3144 ","268.846,1 ","784.916,13 ","-22.756,85 ","355.454,96 ","56.263,10 ","1.812.527,10 ","57,47 ","783.152,5","11,70 ","0,97","27,32"
04/2009,"0,48 ","2,1775 ","263.434,8 ","810.182,90 ","-21.106,84 ","351.369,55 ","56.077,22 ","1.797.074,17 ","56,80 ","825.292,39","11,11 ","0,84","27,49"
05/2009,"0,47 ","1,9722 ","268.734,4 ","851.139,27 ","-21.658,82 ","348.151,04 ","56.015,27 ","1.813.137,25 ","57,07 ","919.347,56","10,16 ","0,77","27,85"
06/2009,"0,36 ","1,9508 ","271.408,2 ","867.950,87 ","-22.081,22 ","348.142,52 ","55.815,89 ","1.859.801,55 ","58,34 ","953.353,27","9,54 ","0,76","28,1"
07/2009,"0,24 ","1,8718 ","281.453,7 ","905.682,49 ","-34.178,28 ","347.454,89 ","56.487,57 ","1.908.617,46 ","59,68 ","1.019.669,55","9,01 ","0,79","28,15"
08/2009,"0,15 ","1,8856 ","282.514,8 ","912.781,60 ","-34.609,02 ","346.361,30 ","56.350,45 ","1.951.925,05 ","60,77 ","1.035.174,51","8,65 ","0,69","28,42"
09/2009,"0,24 ","1,7773 ","288.874,7 ","950.373,54 ","-34.195,92 ","345.487,02 ","56.624,10 ","1.962.852,34 ","60,80 ","1.104.401,25","8,65 ","0,69","28,76"
10/2009,"0,28 ","1,7432 ","309.141,3 ","956.518,33 ","-35.135,83 ","346.074,41 ","56.500,46 ","1.983.867,72 ","61,00 ","1.138.060,88","8,65 ","0,69","28,93"
11/2009,"0,41 ","1,7497 ","307.943,5 ","954.910,39 ","-35.397,89 ","346.869,81 ","56.782,34 ","1.980.097,86 ","60,22 ","1.131.678,49","8,65 ","0,66","29,12"
12/2009,"0,37 ","1,7404 ","303.406,8 ","971.724,23 ","-39.188,94 ","350.338,65 ","56.065,78 ","1.973.423,68 ","59,21 ","1.133.890,88","8,65 ","0,73","29,45"
01/2010,"0,75 ","1,8740 ","284.387,8 ","948.326,89 ","-44.430,05 ","350.985,68 ","55.681,09 ","2.015.576,95 ","59,76 ","1.075.548,0","8,65 ","0,66","29,82"
02/2010,"0,78 ","1,8102 ","283.355,0 ","971.834,29 ","-45.006,62 ","351.695,98 ","57.112,35 ","2.014.967,24 ","59,03 ","1.113.118,57","8,65 ","0,59","29,95"
03/2010,"0,52 ","1,7802 ","318.654,6 ","988.477,87 ","-40.408,23 ","353.509,45 ","57.590,64 ","1.947.898,93 ","56,24 ","1.094.202,30","8,65 ","0,76","30,35"
04/2010,"0,57 ","1,7298 ","311.649,1 ","993.646,50 ","-42.204,06 ","353.337,67 ","58.043,52 ","1.968.164,60 ","56,05 ","1.137.798,94","8,72 ","0,67","30,70"
05/2010,"0,43 ","1,8159 ","315.947,2 ","993.112,82 ","-44.574,06 ","356.055,67 ","58.805,33 ","1.991.352,70 ","55,96 ","1.096.620,24","9,40 ","0,75","31,19"
06/2010,"0,00 ","1,8007 ","316.548,7 ","1.002.689,11 ","-46.532,05 ","361.834,09 ","59.366,14 ","2.010.317,66 ","55,78 ","1.116.408,99","9,94 ","0,79","31,41"
07/2010,"0,01 ","1,7564 ","328.892,6 ","1.023.299,55 ","-46.874,39 ","363.251,92 ","60.015,50 ","2.027.615,02 ","55,53 ","1.154.415,29","10,32 ","0,86","32,3"
08/2010,"0,04 ","1,7552 ","332.376,6 ","1.034.551,51 ","-48.742,98 ","364.439,50 ","60.457,52 ","2.034.861,82 ","54,98 ","1.159.333,31","10,66 ","0,89","32,34"
09/2010,"0,45 ","1,6934 ","336.665,5 ","1.019.038,64 ","-38.254,88 ","368.099,77 ","61.092,30 ","2.057.909,40 ","54,89 ","1.215.252,98","10,66 ","0,85","32,65"
