Data,433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal,3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$,4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões),4469 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governo Federal - R$ (milhões),4470 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Banco Central - R$ (milhões),4472 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos estaduais - R$ (milhões),4473 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos municipais - R$ (milhões),13761 - Dívida bruta do governo geral - Saldos em R$ milhões - Metodologia utilizada a partir de 2008 - R$ (milhões),13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008 - %,"13763 - Dívida bruta do governo geral - Saldos em US$ milhões - Metodologia utilizada a partir de 2008 - US$ (milhões),,,,,,,,,,",4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.,"4390 - Taxa de juros - Selic acumulada no mês - % a.m.,,","29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %,"
02/2016,"0,90 ","3,9790 ","490.206,0 ","1.627.008,54 ","-227.491,62 ","669.810,69 ","63.572,79 ","4.017.298,55 ","66,66 ","1.009.625,17","14,15 ","1,0","39,70"
03/2016,"0,43 ","3,5583 ","527.614,7 ","1.696.186,30 ","-162.304,86 ","663.598,54 ","63.343,29 ","4.005.700,25 ","66,33 ","1.125.734,27","14,15 ","1,16","39,55"
04/2016,"0,61 ","3,4502 ","520.744,6 ","1.732.017,89 ","-156.444,13 ","663.213,09 ","63.419,74 ","4.039.289,28 ","66,62 ","1.170.740,62","14,15 ","1,6","39,28"
05/2016,"0,78 ","3,5945 ","516.214,6 ","1.758.618,01 ","-170.047,46 ","670.311,82 ","64.845,35 ","4.113.898,58 ","67,59 ","1.144.498,14","14,15 ","1,11","39,22"
06/2016,"0,35 ","3,2092 ","522.090,9 ","1.898.646,18 ","-152.104,29 ","665.058,54 ","63.407,38 ","4.130.830,60 ","67,51 ","1.287.183,91","14,15 ","1,16","39,7"
07/2016,"0,52 ","3,2384 ","522.411,3 ","1.976.759,06 ","-156.717,76 ","631.704,32 ","64.204,93 ","4.213.993,30 ","68,70 ","1.301.257,81","14,15 ","1,11","38,88"
08/2016,"0,44 ","3,2397 ","530.544,4 ","1.993.853,80 ","-157.795,98 ","684.007,54 ","64.505,04 ","4.272.828,76 ","69,33 ","1.318.896,43","14,15 ","1,22","38,78"
09/2016,"0,08 ","3,2456 ","524.214,8 ","2.057.867,99 ","-160.118,34 ","690.004,49 ","57.979,05 ","4.329.703,13 ","69,98 ","1.334.022,41","14,15 ","1,11","38,53"
10/2016,"0,26 ","3,1805 ","539.822,3 ","2.074.501,67 ","-155.565,36 ","691.769,87 ","58.053,43 ","4.330.508,19 ","69,78 ","1.361.580,94","14,05 ","1,5","38,28"
11/2016,"0,18 ","3,3961 ","545.695,4 ","2.071.241,31 ","-142.413,56 ","700.745,70 ","59.752,35 ","4.418.424,09 ","70,84 ","1.301.028,85","13,90 ","1,4","38,31"
12/2016,"0,30 ","3,2585 ","547.290,8 ","2.247.463,59 ","-157.330,93 ","686.022,68 ","61.480,31 ","4.378.486,39 ","69,84 ","1.343.712,26","13,65 ","1,12","38,20"
01/2017,"0,38 ","3,1264 ","514.653,7 ","2.308.426,63 ","-175.458,42 ","679.079,85 ","59.641,08 ","4.399.046,84 ","69,81 ","1.407.064,62","13,17 ","1,9","38,5"
02/2017,"0,33 ","3,0987 ","510.348,4 ","2.371.349,28 ","-177.502,39 ","678.951,59 ","58.856,04 ","4.450.006,77 ","70,39 ","1.436.088,29","12,82 ","0,87","37,92"
03/2017,"0,25 ","3,1678 ","560.671,3 ","2.403.521,60 ","-174.959,83 ","675.775,33 ","59.099,39 ","4.527.003,45 ","71,24 ","1.429.068,58","12,15 ","1,5","37,83"
04/2017,"0,14 ","3,1978 ","537.465,7 ","2.407.694,44 ","-177.740,47 ","679.405,84 ","59.489,72 ","4.547.705,05 ","71,38 ","1.422.135,55","11,59 ","0,79","37,49"
05/2017,"0,31 ","3,2431 ","550.560,4 ","2.456.365,51 ","-180.294,02 ","682.956,64 ","59.817,54 ","4.633.516,80 ","72,33 ","1.428.730,78","11,15 ","0,93","37,35"
06/2017,"-0,23 ","3,3076 ","542.703,5 ","2.482.902,91 ","-174.367,08 ","687.395,64 ","60.308,54 ","4.674.598,72 ","72,74 ","1.413.290,22","10,15 ","0,81","37,36"
07/2017,"0,24 ","3,1301 ","548.635,1 ","2.578.528,15 ","-173.608,49 ","684.268,92 ","60.753,11 ","4.722.126,38 ","73,18 ","1.508.618,38","10,01 ","0,80","37,36"
08/2017,"0,19 ","3,1465 ","555.957,5 ","2.620.832,40 ","-178.382,67 ","685.869,82 ","60.555,15 ","4.768.883,31 ","73,62 ","1.515.615,23","9,15 ","0,80","37,41"
09/2017,"0,16 ","3,1674 ","544.042,6 ","2.660.318,57 ","-170.146,55 ","690.835,93 ","60.305,31 ","4.789.341,59 ","73,71 ","1.512.073,50","8,35 ","0,64","37,28"
10/2017,"0,42 ","3,2763 ","568.497,4 ","2.655.280,94 ","-174.626,27 ","698.717,62 ","61.083,61 ","4.837.222,06 ","74,12 ","1.476.428,31","8,01 ","0,64","37,33"
11/2017,"0,28 ","3,2610 ","573.836,8 ","2.690.505,48 ","-178.620,18 ","701.053,37 ","62.298,84 ","4.852.557,49 ","74,03 ","1.488.058,11","7,40 ","0,57","37,40"
12/2017,"0,44 ","3,3074 ","578.106,5 ","2.715.958,20 ","-181.839,40 ","724.079,77 ","65.323,50 ","4.854.678,59 ","73,72 ","1.467.823,24","7,00 ","0,54","37,25"
01/2018,"0,29 ","3,1618 ","553.172,4 ","2.755.556,65 ","-185.365,87 ","714.110,54 ","63.179,26 ","4.904.275,23 ","74,04 ","1.551.102,29","6,90 ","0,58","37,33"
02/2018,"0,32 ","3,2443 ","539.701,4 ","2.776.111,78 ","-189.097,49 ","721.110,37 ","63.050,62 ","4.957.219,32 ","74,51 ","1.527.978,9","6,72 ","0,47","37,33"
03/2018,"0,09 ","3,3232 ","589.209,2 ","2.788.534,65 ","-177.933,23 ","727.795,66 ","63.429,42 ","4.984.707,60 ","74,60 ","1.499.972,20","6,58 ","0,53","37,36"
04/2018,"0,22 ","3,4805 ","587.154,6 ","2.761.224,58 ","-180.807,58 ","740.522,58 ","64.618,78 ","5.045.749,25 ","74,96 ","1.449.719,65","6,40 ","0,52","37,58"
05/2018,"0,40 ","3,7364 ","562.318,2 ","2.723.310,56 ","-187.266,73 ","751.927,86 ","65.406,65 ","5.133.267,76 ","76,12 ","1.373.853,91","6,40 ","0,52","37,85"
06/2018,"1,26 ","3,8552 ","584.626,2 ","2.746.860,00 ","-196.353,25 ","761.109,48 ","65.705,84 ","5.165.402,55 ","76,13 ","1.339.853,33","6,40 ","0,52","37,94"
07/2018,"0,33 ","3,7543 ","592.540,5 ","2.814.647,01 ","-200.234,22 ","760.189,65 ","66.685,53 ","5.186.540,04 ","75,95 ","1.381.493,23","6,40 ","0,54","37,91"
08/2018,"-0,09 ","4,1347 ","599.084,3 ","2.748.393,23 ","-199.098,15 ","778.695,76 ","68.676,86 ","5.223.985,95 ","76,02 ","1.263.449,81","6,40 ","0,57","38,9"
09/2018,"0,48 ","4,0033 ","576.231,0 ","2.826.794,10 ","-191.475,17 ","778.020,32 ","68.452,81 ","5.246.734,28 ","75,99 ","1.310.602,32","6,40 ","0,47","38,11"
10/2018,"0,45 ","3,7171 ","612.130,8 ","2.930.663,26 ","-190.841,16 ","774.385,20 ","67.935,83 ","5.231.391,55 ","75,29 ","1.407.385,21","6,40 ","0,54","38,36"
11/2018,"-0,21 ","3,8627 ","607.600,5 ","2.920.934,97 ","-196.139,03 ","788.333,31 ","69.371,35 ","5.284.132,65 ","75,68 ","1.367.989,40","6,40 ","0,49","38,80"
12/2018,"0,15 ","3,8742 ","600.371,9 ","2.961.823,44 ","-198.121,09 ","798.184,94 ","72.949,50 ","5.271.982,26 ","75,27 ","1.360.792,49","6,40 ","0,49","39,3"
01/2019,"0,32 ","3,6513 ","578.910,8 ","3.015.192,55 ","-194.440,09 ","781.529,16 ","71.224,37 ","5.302.682,27 ","75,43 ","1.452.272,42","6,40 ","0,54","39,29"
02/2019,"0,43 ","3,7379 ","576.654,9 ","3.043.253,62 ","-206.199,35 ","784.478,52 ","71.418,32 ","5.336.549,58 ","75,52 ","1.427.686,56","6,40 ","0,49","39,54"
03/2019,"0,75 ","3,8961 ","601.987,8 ","3.016.102,48 ","-187.706,07 ","793.619,85 ","72.325,09 ","5.430.959,00 ","76,71 ","1.393.947,54","6,40 ","0,47","39,59"
04/2019,"0,57 ","3,9447 ","613.133,1 ","3.026.697,53 ","-190.815,89 ","798.710,42 ","73.389,57 ","5.479.642,90 ","77,12 ","1.389.115,24","6,40 ","0,52","39,82"
05/2019,"0,13 ","3,9401 ","616.054,5 ","3.066.126,66 ","-193.031,95 ","801.899,54 ","73.304,13 ","5.480.569,48 ","76,55 ","1.390.972,18","6,40 ","0,54","40,11"
06/2019,"0,01 ","3,8316 ","597.573,6 ","3.121.257,84 ","-198.689,00 ","799.864,63 ","73.406,82 ","5.498.994,83 ","76,67 ","1.435.169,34","6,40 ","0,47","40,56"
07/2019,"0,19 ","3,7643 ","632.358,3 ","3.148.072,41 ","-168.431,91 ","798.368,69 ","72.518,05 ","5.540.964,87 ","76,83 ","1.471.977,49","6,40 ","0,57","40,73"
08/2019,"0,11 ","4,1379 ","630.297,3 ","3.202.380,07 ","-298.608,72 ","818.161,28 ","74.473,07 ","5.617.716,11 ","77,56 ","1.357.624,91","5,90 ","0,50","41,13"
09/2019,"-0,04 ","4,1638 ","617.954,6 ","3.221.125,06 ","-276.796,44 ","823.068,64 ","74.841,04 ","5.580.374,85 ","76,60 ","1.340.212,3","5,71 ","0,46","41,21"
10/2019,"0,10 ","4,0035 ","649.366,8 ","3.237.113,93 ","-233.797,17 ","819.688,24 ","74.673,67 ","5.549.355,51 ","75,79 ","1.386.126,2","5,38 ","0,48","41,35"
11/2019,"0,51 ","4,2234 ","637.674,9 ","3.285.446,82 ","-301.150,23 ","828.951,52 ","75.715,49 ","5.602.290,22 ","76,20 ","1.326.488,19","4,90 ","0,38","41,58"
12/2019,"1,15 ","4,0301 ","637.164,3 ","3.323.913,97 ","-245.894,91 ","829.424,61 ","78.505,90 ","5.500.104,16 ","74,44 ","1.364.756,25","4,59 ","0,37","41,47"
01/2020,"0,21 ","4,2689 ","614.690,5 ","3.310.594,77 ","-330.466,70 ","833.033,07 ","78.470,51 ","5.550.452,10 ","74,75 ","1.300.206,63","4,40 ","0,38","41,51"
02/2020,"0,25 ","4,4981 ","618.367,9 ","3.361.566,30 ","-414.632,09 ","839.575,74 ","78.608,29 ","5.611.015,18 ","75,15 ","1.247.418,95","4,19 ","0,29","41,46"
03/2020,"0,07 ","5,1981 ","635.036,1 ","3.405.597,12 ","-622.295,51 ","870.415,97 ","82.635,18 ","5.758.363,33 ","76,78 ","1.107.782,33","3,95 ","0,34","41,55"
04/2020,"-0,31 ","5,4264 ","568.256,2 ","3.521.334,50 ","-706.026,57 ","882.916,27 ","84.462,38 ","5.817.892,36 ","78,04 ","1.072.145,87","3,65 ","0,28","40,86"
05/2020,"-0,38 ","5,4257 ","576.737,3 ","3.663.290,01 ","-717.102,98 ","889.271,79 ","85.460,29 ","5.929.085,15 ","79,96 ","1.092.777,92","3,01 ","0,24","40,3"
06/2020,"0,26 ","5,4754 ","607.730,1 ","3.879.965,21 ","-740.528,41 ","888.143,41 ","85.771,80 ","6.153.523,83 ","82,87 ","1.123.849,19","2,58 ","0,21","39,37"
07/2020,"0,36 ","5,2027 ","644.069,1 ","3.988.044,12 ","-685.914,91 ","873.561,80 ","85.514,61 ","6.210.041,66 ","83,50 ","1.193.619,2","2,15 ","0,19","39,23"
08/2020,"0,24 ","5,4707 ","637.173,3 ","3.766.889,18 ","-426.386,20 ","877.652,45 ","86.239,45 ","6.389.754,50 ","85,84 ","1.167.995,78","1,94 ","0,16","39,20"
09/2020,"0,64 ","5,6401 ","648.081,0 ","3.872.255,25 ","-468.969,91 ","879.246,15 ","86.325,02 ","6.533.712,36 ","87,42 ","1.158.439,10","1,90 ","0,16","39,59"
10/2020,"0,86 ","5,7712 ","674.198,4 ","3.912.652,41 ","-509.077,89 ","881.367,28 ","87.030,27 ","6.574.653,33 ","87,67 ","1.139.217,72","1,90 ","0,16","40,20"
11/2020,"0,89 ","5,3311 ","679.743,5 ","3.945.120,12 ","-390.451,86 ","866.565,65 ","84.540,33 ","6.558.571,31 ","86,97 ","1.230.247,29","1,90 ","0,15","41,3"
12/2020,"1,35 ","5,1961 ","705.513,6 ","4.018.630,30 ","-367.170,76 ","868.303,02 ","86.181,73 ","6.615.755,20 ","86,94 ","1.273.215,53","1,90 ","0,16","41,75"
01/2021,"0,25 ","5,4753 ","679.766,2 ","4.030.858,19 ","-445.232,28 ","846.046,55 ","85.589,93 ","6.670.267,06 ","86,91 ","1.218.246,87","1,90 ","0,15","42,6"
02/2021,"0,86 ","5,5296 ","707.097,5 ","4.078.667,61 ","-449.950,85 ","840.523,28 ","85.110,50 ","6.744.244,12 ","86,87 ","1.219.662,20","1,90 ","0,13","42,25"
03/2021,"0,93 ","5,6967 ","769.806,4 ","4.113.490,28 ","-488.355,36 ","845.667,16 ","85.951,50 ","6.721.063,14 ","85,10 ","1.179.816,94","2,23 ","0,20","42,43"
04/2021,"0,31 ","5,4030 ","737.649,9 ","4.103.728,90 ","-427.183,79 ","831.740,71 ","83.248,36 ","6.665.275,15 ","82,62 ","1.233.624,87","2,65 ","0,21","42,88"
05/2021,"0,83 ","5,2316 ","731.491,2 ","4.147.746,39 ","-386.342,77 ","824.018,89 ","81.921,65 ","6.696.353,78 ","81,44 ","1.279.981,99","3,29 ","0,27","43,83"
06/2021,"0,53 ","5,0016 ","734.497,7 ","4.241.470,40 ","-316.392,73 ","811.568,17 ","80.390,04 ","6.729.562,39 ","80,60 ","1.345.481,92","3,76 ","0,31","44,52"
07/2021,"0,96 ","5,1210 ","765.625,7 ","4.300.777,81 ","-359.076,86 ","810.813,98 ","79.522,93 ","6.797.927,95 ","80,25 ","1.327.461,3","4,15 ","0,36","45,18"
08/2021,"0,87 ","5,1427 ","767.695,0 ","4.346.930,88 ","-351.409,32 ","789.669,99 ","75.953,70 ","6.849.857,48 ","79,64 ","1.331.957,43","5,01 ","0,43","46,43"
09/2021,"1,16 ","5,4388 ","762.530,3 ","4.393.621,84 ","-424.175,06 ","795.009,45 ","74.218,65 ","6.939.728,60 ","79,62 ","1.275.966,87","5,43 ","0,44","47,47"
10/2021,"1,25 ","5,6424 ","772.517,5 ","4.417.142,71 ","-478.589,68 ","800.831,60 ","71.748,97 ","7.009.119,32 ","79,52 ","1.242.223,5","6,30 ","0,49","48,16"
11/2021,"0,95 ","5,6193 ","788.141,9 ","4.452.730,71 ","-466.150,91 ","797.116,54 ","66.652,54 ","6.978.912,93 ","78,22 ","1.241.954,15","7,65 ","0,59","48,92"
12/2021,"0,73 ","5,5799 ","795.322,7 ","4.479.219,91 ","-449.506,82 ","809.985,96 ","70.504,20 ","6.966.925,20 ","77,31 ","1.248.575,28","8,76 ","0,77","49,44"
01/2022,"0,54 ","5,3568 ","723.736,9 ","4.433.862,72 ","-377.277,98 ","788.700,74 ","68.170,78 ","6.973.243,10 ","77,00 ","1.301.755,36","9,15 ","0,73","49,60"
02/2022,"1,01 ","5,1388 ","753.380,0 ","4.412.427,14 ","-244.446,10 ","770.127,42 ","63.060,67 ","7.001.664,30 ","76,92 ","1.362.509,59","10,49 ","0,76","49,47"
03/2022,"1,62 ","4,7372 ","842.411,3 ","4.460.662,32 ","-119.147,77 ","753.503,41 ","58.013,25 ","7.009.269,27 ","76,40 ","1.479.622,83","11,15 ","0,93","49,52"
04/2022,"1,06 ","4,9185 ","832.097,1 ","4.485.921,21 ","-118.243,05 ","754.983,72 ","57.908,55 ","7.075.133,23 ","76,33 ","1.438.473,77","11,65 ","0,83","49,60"
05/2022,"0,47 ","4,7283 ","841.746,7 ","4.561.755,86 ","-74.813,14 ","748.381,03 ","55.862,86 ","7.098.469,68 ","75,68 ","1.501.273,12","12,51 ","1,3","49,49"
06/2022,"0,67 ","5,2374 ","843.637,7 ","4.608.672,32 ","-170.296,98 ","769.414,65 ","55.606,30 ","7.174.528,52 ","75,61 ","1.369.864,54","12,89 ","1,2","49,62"
07/2022,"-0,68 ","5,1878 ","869.133,2 ","4.619.940,52 ","-168.512,40 ","771.160,01 ","54.871,96 ","7.217.112,27 ","75,24 ","1.391.170,10","13,15 ","1,3","49,88"
08/2022,"-0,36 ","5,1784 ","873.862,3 ","4.698.506,53 ","-129.847,03 ","781.141,26 ","32.245,69 ","7.231.619,18 ","74,56 ","1.396.496,83","13,58 ","1,17","49,59"
09/2022,"-0,29 ","5,4060 ","858.186,5 ","4.723.540,63 ","-119.242,36 ","791.597,05 ","36.187,52 ","7.262.409,90 ","74,15 ","1.343.398,6","13,65 ","1,7","49,48"
10/2022,"0,59 ","5,2564 ","880.537,5 ","4.723.266,34 ","-68.533,41 ","796.892,71 ","36.345,22 ","7.297.886,22 ","73,70 ","1.388.381,6","13,65 ","1,2","49,66"
11/2022,"0,41 ","5,2935 ","880.820,2 ","4.783.323,37 ","-106.058,85 ","808.236,63 ","37.714,00 ","7.290.852,55 ","72,95 ","1.377.321,72","13,65 ","1,2","49,41"
12/2022,"0,62 ","5,2171 ","880.127,5 ","4.827.099,07 ","-88.719,40 ","819.931,11 ","44.810,04 ","7.224.882,23 ","71,68 ","1.384.846,41","13,65 ","1,12","49,0"
01/2023,"0,53 ","5,0987 ","811.941,5 ","4.791.744,63 ","-80.446,27 ","805.428,41 ","40.007,16 ","7.257.238,78 ","71,37 ","1.423.350,81","13,65 ","1,12","48,95"
02/2023,"0,84 ","5,2072 ","829.763,0 ","4.875.622,71 ","-69.486,18 ","807.460,75 ","36.314,31 ","7.351.858,08 ","71,77 ","1.411.863,97","13,65 ","0,92","48,66"
03/2023,"0,71 ","5,0798 ","939.313,6 ","4.943.427,90 ","-65.457,93 ","812.484,34 ","38.428,90 ","7.398.049,66 ","71,54 ","1.456.366,33","13,65 ","1,17","48,58"
04/2023,"0,61 ","5,0001 ","909.689,3 ","4.967.402,18 ","-52.356,30 ","812.006,43 ","38.130,63 ","7.456.708,22 ","71,57 ","1.491.311,82","13,65 ","0,92","48,51"
05/2023,"0,23 ","5,0953 ","912.415,4 ","5.055.125,69 ","-48.780,85 ","827.533,18 ","40.159,17 ","7.563.933,30 ","72,11 ","1.484.492,24","13,65 ","1,12","48,83"
06/2023,"-0,08 ","4,8186 ","905.475,2 ","5.128.473,13 ","41.166,99 ","821.767,88 ","42.630,66 ","7.594.036,70 ","71,97 ","1.575.984,4","13,65 ","1,7","48,40"
07/2023,"0,12 ","4,7409 ","921.296,6 ","5.198.135,59 ","58.392,43 ","823.861,39 ","45.065,72 ","7.685.542,67 ","72,48 ","1.621.114,70","13,65 ","1,7","47,98"
08/2023,"0,23 ","4,9213 ","932.293,5 ","5.283.360,64 ","32.054,42 ","834.457,29 ","45.475,20 ","7.771.630,84 ","72,89 ","1.579.182,50","13,19 ","1,14","48,17"
09/2023,"0,26 ","5,0070 ","915.855,3 ","5.323.386,34 ","52.233,63 ","841.254,26 ","46.580,20 ","7.826.080,16 ","73,01 ","1.563.027,79","12,97 ","0,97","48,6"
10/2023,"0,24 ","5,0569 ","953.945,2 ","5.351.578,10 ","50.512,69 ","852.916,56 ","48.512,86 ","7.913.479,78 ","73,32 ","1.564.887,54","12,65 ","1,0","48,13"
11/2023,"0,28 ","4,9349 ","961.832,7 ","5.431.451,98 ","42.371,10 ","852.346,73 ","49.949,20 ","7.972.577,48 ","73,32 ","1.615.549,96","12,17 ","0,92","48,13"
12/2023,"0,56 ","4,8407 ","949.523,3 ","5.613.293,49 ","44.007,00 ","852.447,31 ","55.637,63 ","8.079.270,02 ","73,83 ","1.669.029,28","11,87 ","0,89","47,69"
01/2024,"0,42 ","4,9529 ","888.790,3 ","5.633.243,69 ","-13.907,47 ","842.262,32 ","53.962,44 ","8.210.714,54 ","74,51 ","1.657.759,0","11,65 ","0,97","47,84"
02/2024,"0,83 ","4,9827 ","898.926,8 ","5.752.327,38 ","-2.845,12 ","841.212,51 ","53.512,15 ","8.301.795,56 ","74,86 ","1.666.123,90","11,15 ","0,80","47,78"
03/2024,"0,16 ","4,9956 ","965.482,7 ","5.802.366,54 ","-9.724,41 ","842.964,84 ","55.933,89 ","8.347.113,99 ","75,09 ","1.670.893,18","11,00 ","0,83","47,75"
04/2024,"0,38 ","5,1712 ","989.619,6 ","5.855.255,02 ","-29.234,87 ","851.848,57 ","59.079,88 ","8.424.193,19 ","75,25 ","1.629.059,64","10,65 ","0,89","47,70"
05/2024,"0,46 ","5,2410 ","961.853,7 ","5.979.709,68 ","-55.867,02 ","859.082,81 ","61.469,70 ","8.522.783,42 ","75,79 ","1.626.175,5","10,46 ","0,83","47,57"
06/2024,"0,21 ","5,5583 ","969.756,1 ","6.091.470,51 ","-137.353,17 ","872.331,58 ","64.358,81 ","8.691.534,95 ","76,85 ","1.563.703,82","10,40 ","0,79","47,67"
07/2024,"0,38 ","5,6615 ","1.007.672,7 ","6.161.706,41 ","-181.289,24 ","872.431,91 ","70.077,00 ","8.826.381,74 ","77,45 ","1.559.018,24","10,40 ","0,91","47,84"
08/2024,"-0,02 ","5,6556 ","993.542,6 ","6.238.890,77 ","-200.360,96 ","874.622,58 ","73.507,95 ","8.898.037,21 ","77,67 ","1.573.314,45","10,40 ","0,87","47,99"
09/2024,"0,44 ","5,4475 ","988.698,1 ","6.283.834,36 ","-157.212,57 ","875.457,52 ","75.533,98 ","8.928.002,71 ","77,44 ","1.638.917,43","10,50 ","0,84","48,1"
10/2024,"0,56 ","5,7773 ","1.050.277,4 ","6.325.912,01 ","-201.468,34 ","886.899,82 ","81.417,01 ","9.031.877,39 ","77,69 ","1.563.338,82","10,65 ","0,93","48,7"
11/2024,"0,39 ","6,0529 ","1.027.050,4 ","6.399.452,60 ","-271.103,81 ","897.947,80 ","84.973,38 ","9.091.103,83 ","77,76 ","1.501.941,85","11,04 ","0,79","48,29"
12/2024,"0,52 ","6,1917 ","1.003.039,7 ","6.438.759,93 ","-267.060,39 ","915.686,78 ","90.713,02 ","8.984.236,59 ","76,50 ","1.451.012,90","11,77 ","0,93","48,43"
01/2025,"0,16 ","5,8295 ","950.827,4 ","6.523.329,06 ","-317.880,35 ","890.742,06 ","87.691,05 ","8.939.978,05 ","75,72 ","1.533.575,44","12,24 ","1,1","48,62"
02/2025,"1,31 ","5,8482 ","977.326,4 ","6.625.841,51 ","-342.063,69 ","890.151,82 ","85.700,55 ","9.045.259,98 ","76,11 ","1.546.674,19","13,15 ","0,99","48,49"
03/2025,"0,56 ","5,7416 ","1.063.076,3 ","6.666.757,92 ","-297.593,45 ","889.809,79 ","83.235,76 ","9.095.938,27 ","75,91 ","1.584.216,64","13,57 ","0,96","48,56"
