Data;4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.;4390 - Taxa de juros - Selic acumulada no mês - % a.m.,,
04/2024;10,65 ;0,89
05/2024;10,46 ;0,83
06/2024;10,40 ;0,79
07/2024;10,40 ;0,91
08/2024;10,40 ;0,87
09/2024;10,50 ;0,84
10/2024;10,65 ;0,93
11/2024;11,04 ;0,79
12/2024;11,77 ;0,93
01/2025;12,24 ;1,1
02/2025;13,15 ;0,99
03/2025;13,57 ;0,96
04/2025;14,15 ;1,6
05/2025;14,55 ;1,14
